"Salvar?","Save?","¿Guardar?"
"O namorado da filha fica vigiando a entrada da cidade.","The daughter's boyfriend stands watch over the town entrance.","El novio de la chica vigila la entrada de la ciudad."
"Você encontrou vestígios de sangue no nível mais baixo da cidade. É hora de se encontrar com o namorado da garota.","You found traces of blood on the lowest level of town. It's time to meet with the girl's boyfriend.","Has encontrado rastros de sangre en el nivel más bajo de la ciudad. Ve a hablar con el novio."
"O corpo da garota foi jogado no poço de areia logo fora de Facade. Procure o local por pistas.","The girl's body was dumped at the sandspout well just outside Facade. Search the location for clues.","Se ve que tiraron el cadáver de la chica al pozo de arena a las afueras de Fachada. Registra la zona."
"Você não consegue encontrar o corpo. Diga aos pais dela as tristes notícias.","You can't find the body. Tell her parents the grim news.","No has encontrado el cuerpo. Cuéntales a sus padres la mala noticia."
"A garota estava viva o tempo todo! Que estranho...","The girl was alive the whole time! How strange...","¡La chica no había muerto en realidad! Qué raro todo..."
"Um guarda na entrada de Facade pediu para você eliminar os bandidos que estão profanando o Templo Árido.","A guard at Facade's gate asked you to eliminate the bandits desecrating the Barren Temple.","Un guarda de Fachada te ha pedido que acabes con los bandidos que profanan el Templo Árido."
"Os bandidos inadvertidamente quebraram o selo colocado em uma Sombra. Ele deve ser derrotado imediatamente.","The bandits have inadvertently broken the seal placed on a Shade. It must be defeated at once.","Los bandidos han roto el sello de una Sombra involuntariamente. Debes derrotarla cuanto antes."
"Você derrotou a Sombra. Reporte de volta ao cliente.","You defeated the Shade. Report back to the client.","Has derrotado a la Sombra. Informa al cliente."
"Você relatou de volta ao cliente. Com esperança, isso acalmará as coisas no templo.","You reported back to the client. Hopefully this will quiet things down in the temple.","Has informado al cliente. Ojalá esto sirva para calmar la situación en el templo."
"Uma velha senhora em pé debaixo de uma árvore em Beira-mar precisa que você recupere a carga de um navio perdido no mar. Procure nas margens e encontre suas três peças de carga.","An old lady standing under a tree in Seafront needs you to recover cargo from a ship that was lost at sea. Search the shorelines and find her three pieces of cargo.","Una anciana bajo un árbol de Ciudad Costera necesita recuperar mercancía que iba en un barco perdido. Busca en las orillas y encuentra sus tres piezas de mercancía."
"Você recuperou a carga da costa de Beira-mar.","You retrieved the cargo from the Seafront shoreline.","Has encontrado la mercancía en la orilla de Ciudad Costera."
"Você recuperou a carga da vila de <NIER>.","You retrieved the cargo from <NIER>'s village.","Has encontrado la mercancía en la aldea de <NIER>."
"Você recuperou a carga da costa nas planícies do norte.","You retrieved the cargo from the shoreline in the northern plains.","Has encontrado la mercancía en la orilla de las llanuras del norte."
"Você recuperou toda a carga. Agora, o que fazer com ela...","You retrieved all of the cargo. Now, what to do with it...","Has recuperado toda la mercancía. ¿Y ahora qué?"
"Você deu a carga ao cliente.","You gave the cargo to the client.","Le has dado la mercancía a la cliente."
"Você entregou a carga às autoridades.","You gave the cargo to the authorities.","Les has dado la mercancía a las autoridades."
"Uma mulher de laranja no porto em Beira-Mar quer que você localize um tesouro conhecido como a Lágrima da Sereia. Procure por pistas em Beira-Mar.","A woman in orange at the port in Seafront wants you to locate a treasure known as the Mermaid Tear. Search Seafront for leads.","Una mujer de naranja del puerto de Ciudad Costera te pide que encuentres una<LF>Lágrima de sirena. Busca en Ciudad Costera."
"Parece que a senhora do farol estava envolvida...","It seems the lighthouse lady was involved...","Parece que la anciana del faro tenía algo que ver..."
"Siga a trilha de cartas até o correio.","Follow the trail of letters to the post office.","Sigue el rastro de las cartas hasta la oficina de correos."
"Informe o cliente sobre a joia.","Report back to the client about the jewel.","Informa a la clienta sobre la joya."
"Você falou com o cliente. Há uma história interessante por trás daquela joia...","You spoke with the client. That jewel has quite a story behind it...","Has hablado con la clienta. La joya tiene toda una historia detrás..."
"Um jovem quer se tornar um soldado. Ajude-o coletando cinco peças de minério de ferro e cinco toras de madeira.","A young man wants to become a soldier. Help him by collecting five pieces of iron ore and five logs.","Un chico quiere convertirse en soldado. Ayúdalo a reunir cinco piezas de hierro y cinco troncos."
"Você coletou os materiais. Leve-os de volta para o jovem.","You collected the materials. Bring them back to the young man.","Has reunido los materiales. Ahora, llévaselos al chico."
"O jovem passou no exame de entrada militar.","The young man has passed the military entrance exam.","El muchacho ha superado el examen de acceso al ejército."
"O jovem falhou no exame de entrada militar.","The young man has failed the military entrance exam.","El muchacho no ha superado el examen de acceso al ejército."
"O jovem se tornou um soldado.","The young man has become a soldier.","El muchacho se ha convertido en soldado."
"O dono da Loja de Itens precisa da sua ajuda para encontrar os culpados que roubaram sua loja. Comece perguntando por pistas.","The item shopkeeper needs your help finding the culprits that robbed his store. Begin by asking around for clues.","El comerciante quiere que encuentres a los que robaron su tienda. Pregunta en la zona para encontrar pistas."
"Aparentemente os culpados trabalham em dupla...","Apparently the culprits work as a pair...","Al parecer, los culpables son dos y trabajaron juntos..."
"Aparentemente os culpados são crianças...","Apparently the culprits are children...","Al parecer, los culpables son niños..."
"Os ladrões eram um par de crianças. Você precisa falar com o pai deles. Tente a taberna.","The robbers were a pair of children. You need to talk to their father. Try the tavern.","Los ladrones son dos niños. Ve a hablar con su padre. Busca en la taberna."
"O pai é inútil. Relate ao cliente, por hora.","The father is useless. Report back to the client for now.","El padre es un inútil. De momento, informa al cliente al respecto."
"Alguém pode cuidar dessas crianças?","Can anyone take care of these kids?","¿Es que nadie va a hacerse cargo de esos niños?"
"Seu cliente diz que ele procurará um guardião para as crianças. Com esperança, ele encontrará alguém bom.","Your client says he'll search for a guardian for the children. Hopefully he'll find someone good.","El cliente dice que va a buscar a un tutor para los niños. Ojalá encuentre a alguien competente."
"Popola concordou em cuidar das crianças.","Popola has agreed to take care of the children.","Popola ha aceptado hacerse cargo de los niños."
"Um homem viajando em um navio em Beira-Mar quer fazer um medicamento que irá prevenir o enjoo. Compre para ele uma folha de mandrágora na Loja de Itens-Exóticos em Facade.","A man traveling on a ship in Seafront wants to make a medication that will prevent seasickness. Buy him a mandrake leaf from the strange-thing store in Facade.","Un hombre de Ciudad Costera quiere elaborar un remedio contra el mareo. Compra una hoja de mandrágora en la tienda de objetos raros de Fachada."
"Você obteve a folha de mandrágora. O dono da Loja de Itens-Exóticos agiu estranhamente quando você perguntou por ela...","You obtained the mandrake leaf. The shopkeeper at the strange-thing store sure acted funny when you asked for it...","Has conseguido la hoja de mandrágora. El comerciante de la tienda de objetos raros se ha mostrado raro al pedirla..."
"Seu cliente ainda está trabalhando em uma cura para o enjoo no mar. Traga para ele um pouco de óleo de sapo da Loja de Armas Dois Irmãos no Lixão.","Your client is still working on his seasickness cure. Bring him some toad oil from Two Brothers Weaponry in the Junk Heap.","Tu cliente sigue con en el remedio contra el mareo. Llévale aceite de sapo de la armería de los hermanos, en la chatarrería."
